City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,Siniscola,IT,2022-06-05 20:58:31,40.5719,9.6922,80.15,61,45,4.54
95,Bluff,NZ,2022-06-05 20:58:32,-46.6,168.3333,37.8,86,10,10.27
96,Anito,PH,2022-06-05 20:58:32,12.4497,125.2886,76.05,90,92,2.82
97,Pakruojis,LT,2022-06-05 20:58:33,55.9667,23.8667,57.99,78,38,3.29
98,Del Rio,US,2022-06-05 20:56:58,29.3627,-100.8968,102.6,21,0,13.8
99,Qaanaaq,GL,2022-06-05 20:58:33,77.484,-69.3632,31.96,75,0,1.07
100,Tessalit,ML,2022-06-05 20:58:34,20.1986,1.0114,95.81,7,3,5.73
101,De-Kastri,RU,2022-06-05 20:58:34,51.4667,140.7833,49.93,68,28,4.45
102,Ponta Do Sol,PT,2022-06-05 20:58:34,32.6667,-17.1,68.0,68,7,2.04
103,Lagoa,PT,2022-06-05 20:58:35,39.05,-27.9833,64.29,89,100,16.31
104,Arraial Do Cabo,BR,2022-06-05 20:55:47,-22.9661,-42.0278,69.76,52,40,10.36
105,Boyolangu,ID,2022-06-05 20:58:35,-8.1181,111.8935,75.6,91,100,1.1
106,Noumea,NC,2022-06-05 20:58:36,-22.2763,166.4572,72.0,99,0,4.56
107,Aykhal,RU,2022-06-05 20:58:36,66.0,111.5,46.6,57,100,6.15
108,Kavieng,PG,2022-06-05 20:58:37,-2.5744,150.7967,81.09,73,69,6.06
109,Hobart,AU,2022-06-05 20:58:37,-42.8794,147.3294,49.23,76,40,10.36
110,Bandarbeyla,SO,2022-06-05 20:57:43,9.4942,50.8122,79.29,82,69,21.12
111,Quimperle,FR,2022-06-05 20:58:38,47.8667,-3.55,59.99,80,0,4.61
112,Tautira,PF,2022-06-05 20:58:38,-17.7333,-149.15,80.13,72,71,17.43
113,Bethel,US,2022-06-05 20:58:39,41.3712,-73.414,77.52,38,98,1.99
114,Okha,RU,2022-06-05 20:58:39,53.5739,142.9478,49.41,65,90,7.74
115,Gilbues,BR,2022-06-05 20:58:40,-9.8317,-45.3439,82.18,42,10,14.45
116,Kurilsk,RU,2022-06-05 20:58:40,45.2333,147.8833,40.41,88,59,5.88
117,Salamiyah,SY,2022-06-05 20:58:41,35.0113,37.0532,68.09,53,0,8.37
118,Lumsden,CA,2022-06-05 20:58:41,50.6501,-104.8678,67.15,43,100,14.36
119,Ati,TD,2022-06-05 20:58:41,13.2154,18.3353,91.33,31,96,8.28
120,Talcahuano,CL,2022-06-05 20:58:42,-36.7167,-73.1167,56.88,82,100,9.22
121,Susanville,US,2022-06-05 20:58:42,40.4163,-120.653,67.84,49,20,16.11
122,Ossora,RU,2022-06-05 20:58:43,59.2353,163.0719,48.09,81,15,8.7
123,Bathsheba,BB,2022-06-05 20:58:43,13.2167,-59.5167,84.81,74,40,24.16
124,Hovd,MN,2022-06-05 20:58:43,48.0056,91.6419,54.0,32,0,19.51
125,Klaksvik,FO,2022-06-05 20:58:44,62.2266,-6.589,50.92,86,100,11.23
126,Grand Gaube,MU,2022-06-05 20:58:44,-20.0064,57.6608,73.38,71,1,3.0
127,Champerico,GT,2022-06-05 20:58:45,14.3,-91.9167,90.14,71,100,8.97
128,Kruisfontein,ZA,2022-06-05 20:58:45,-34.0033,24.7314,59.88,87,24,4.92
129,Ixtapa,MX,2022-06-05 20:58:46,20.7,-105.2,89.29,50,2,9.28
130,Esperance,AU,2022-06-05 20:58:46,-33.8667,121.9,54.99,72,100,7.34
131,Morant Bay,JM,2022-06-05 20:58:46,17.8815,-76.4093,87.71,76,67,9.19
132,Sibolga,ID,2022-06-05 20:58:47,1.7427,98.7792,76.05,87,100,3.33
133,Yichun,CN,2022-06-05 20:58:47,47.7,128.9,48.29,84,96,4.16
134,Beringovskiy,RU,2022-06-05 20:58:48,63.05,179.3167,46.2,68,100,4.7
135,Asau,RO,2022-06-05 20:58:48,46.4333,26.4,60.96,94,98,4.23
136,Hirara,JP,2022-06-05 20:57:42,24.8,125.2833,82.81,85,100,29.15
137,Khatanga,RU,2022-06-05 20:59:49,71.9667,102.5,27.07,88,86,6.33
138,Ambilobe,MG,2022-06-05 20:59:49,-13.2,49.05,67.14,81,1,3.85
139,Jamestown,US,2022-06-05 20:55:29,42.097,-79.2353,72.05,32,100,5.75
140,Moerai,PF,2022-06-05 20:59:50,-22.4333,-151.3333,76.35,75,100,20.89
141,Takoradi,GH,2022-06-05 20:56:24,4.8845,-1.7554,78.67,84,100,12.37
142,Mecca,SA,2022-06-05 20:57:55,21.4267,39.8261,91.42,20,0,3.8
143,Kapaa,US,2022-06-05 20:59:51,22.0752,-159.319,76.12,86,100,10.36
144,Fortuna,US,2022-06-05 20:59:51,40.5982,-124.1573,67.12,71,75,11.5
145,Susehri,TR,2022-06-05 20:59:52,40.1644,38.0867,61.0,86,61,4.14
146,Khash,IR,2022-06-05 20:59:52,28.2211,61.2158,70.92,11,0,4.36
147,San Juan,AR,2022-06-05 20:55:24,-31.5375,-68.5364,60.8,41,9,12.3
148,Avera,US,2022-06-05 20:59:53,33.194,-82.5271,85.55,31,80,6.98
149,Freeport,US,2022-06-05 20:58:45,40.6576,-73.5832,80.29,44,7,4.0
150,Zheleznodorozhnyy,RU,2022-06-05 20:55:04,55.7503,38.0042,57.38,91,3,6.96
151,Manyana,BW,2022-06-05 20:59:53,-23.4,21.7167,53.44,31,67,6.46
152,Avarua,CK,2022-06-05 20:59:54,-21.2078,-159.775,82.45,78,20,9.22
153,Yumen,CN,2022-06-05 20:59:54,40.2833,97.2,65.82,24,72,6.08
154,Pervomayskiy,RU,2022-06-05 20:59:54,53.2485,40.2871,52.65,90,100,7.4
155,Airai,TL,2022-06-05 20:59:02,-8.9266,125.4092,57.96,89,96,2.1
156,Chapais,CA,2022-06-05 20:59:55,49.7834,-74.8492,56.98,92,100,4.45
157,Tasiilaq,GL,2022-06-05 20:59:56,65.6145,-37.6368,37.76,56,15,5.3
