City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
91,Huarmey,PE,2022-05-31 18:21:54,-10.0681,-78.1522,68.31,70,71,9.31
92,Adrar,MR,2022-05-31 18:22:55,20.5022,-10.0711,101.07,12,91,12.93
93,Lompoc,US,2022-05-31 18:22:55,34.6391,-120.4579,74.7,70,0,18.01
94,Kemijarvi,FI,2022-05-31 18:22:56,66.7131,27.4306,63.3,39,49,10.85
95,Havelock,US,2022-05-31 18:22:56,34.8791,-76.9013,91.98,64,40,9.22
96,Srednekolymsk,RU,2022-05-31 18:22:57,67.45,153.6833,58.89,53,100,9.82
97,Rio Grande,BR,2022-05-31 18:22:57,-32.035,-52.0986,53.71,52,58,7.29
98,Manica,FR,2022-05-31 18:22:58,49.0,-1.1667,57.25,61,6,8.43
99,Hobart,AU,2022-05-31 18:22:58,-42.8794,147.3294,48.06,90,75,10.36
100,Denpasar,ID,2022-05-31 18:18:59,-8.65,115.2167,82.06,83,40,5.75
101,Bethel,US,2022-05-31 18:22:59,41.3712,-73.414,93.2,51,0,10.36
102,Baykit,RU,2022-05-31 18:22:59,61.67,96.37,45.73,86,99,8.01
103,Brae,GB,2022-05-31 18:23:00,60.3964,-1.353,51.96,68,65,7.49
104,Tiksi,RU,2022-05-31 18:23:00,71.6872,128.8694,29.91,98,100,6.98
105,Rio Gallegos,AR,2022-05-31 18:23:01,-51.6226,-69.2181,44.65,65,20,12.66
106,Thompson,CA,2022-05-31 18:23:01,55.7435,-97.8558,33.96,93,100,12.66
107,Avarua,CK,2022-05-31 18:23:02,-21.2078,-159.775,71.65,83,29,4.61
108,Kamaishi,JP,2022-05-31 18:23:03,39.2667,141.8833,55.51,94,72,7.54
109,Machinga,MW,2022-05-31 18:23:03,-15.1685,35.3,65.77,56,54,4.41
110,Gavrilov-Yam,RU,2022-05-31 18:23:04,57.3018,39.8533,60.64,93,100,4.68
111,Matara,LK,2022-05-31 18:23:05,5.9485,80.5353,77.79,88,100,14.67
112,Swellendam,ZA,2022-05-31 18:23:05,-34.0226,20.4417,55.85,45,56,4.92
113,Vaitape,PF,2022-05-31 18:20:53,-16.5167,-151.75,79.72,68,75,12.8
114,Iskateley,RU,2022-05-31 18:23:06,67.6803,53.1512,45.54,64,56,10.85
115,Touros,BR,2022-05-31 18:23:07,-5.1989,-35.4608,83.35,68,54,9.44
116,Savonlinna,FI,2022-05-31 18:23:07,61.8699,28.88,57.25,88,75,10.36
117,Upata,VE,2022-05-31 18:23:08,8.0086,-62.3989,91.33,30,94,6.87
118,Butaritari,KI,2022-05-31 18:23:09,3.0707,172.7902,79.93,81,55,8.72
119,Hilo,US,2022-05-31 18:22:16,19.7297,-155.09,83.28,86,100,5.75
120,Lebu,CL,2022-05-31 18:23:10,-37.6167,-73.65,47.84,61,7,8.72
121,New Norfolk,AU,2022-05-31 18:23:10,-42.7826,147.0587,47.7,85,100,1.99
122,Ayr,GB,2022-05-31 18:18:42,55.4627,-4.6339,57.31,62,20,6.91
123,Chuy,UY,2022-05-31 18:23:12,-33.6971,-53.4616,52.59,43,9,7.87
124,Havoysund,NO,2022-05-31 18:23:12,70.9963,24.6622,53.17,62,71,16.2
125,Tasiilaq,GL,2022-05-31 18:23:13,65.6145,-37.6368,39.36,91,100,2.1
126,Gat,IL,2022-05-31 18:22:03,31.61,34.7642,77.4,48,0,5.88
127,Sambava,MG,2022-05-31 18:23:14,-14.2667,50.1667,72.5,74,3,12.86
128,Victoria,HK,2022-05-31 18:22:13,22.2855,114.1577,83.32,86,84,7.0
129,Mount Isa,AU,2022-05-31 18:23:15,-20.7333,139.5,53.37,58,64,5.75
130,Vila Franca Do Campo,PT,2022-05-31 18:23:15,37.7167,-25.4333,63.19,80,79,18.21
131,Tautira,PF,2022-05-31 18:23:16,-17.7333,-149.15,77.63,82,34,15.3
132,Bilecik,TR,2022-05-31 18:23:16,40.0,30.1667,68.65,81,7,5.26
133,Severodvinsk,RU,2022-05-31 18:23:17,64.5635,39.8302,69.91,54,0,6.6
134,Xingcheng,CN,2022-05-31 18:23:17,40.6167,120.7167,62.2,60,66,3.78
135,Nchelenge,ZM,2022-05-31 18:23:18,-9.3451,28.734,70.02,59,12,5.23
136,Itoman,JP,2022-05-31 18:23:18,26.1247,127.6694,77.4,100,75,12.66
137,Chimbote,PE,2022-05-31 18:20:55,-9.0853,-78.5783,68.09,69,72,9.91
138,Cuajinicuilapa,MX,2022-05-31 18:23:20,16.4667,-98.4167,91.36,44,97,8.52
139,Mareeba,AU,2022-05-31 18:23:20,-17.0,145.4333,63.45,97,84,1.77
140,Alice Springs,AU,2022-05-31 18:24:19,-23.7,133.8833,49.55,87,75,6.91
141,Qorveh,IR,2022-05-31 18:24:21,35.1664,47.8045,65.35,25,91,8.14
142,Upernavik,GL,2022-05-31 18:24:21,72.7868,-56.1549,26.82,76,22,11.43
143,Lavrentiya,RU,2022-05-31 18:24:22,65.5833,-171.0,40.46,77,31,1.14
144,Tarakan,ID,2022-05-31 18:24:22,3.3,117.6333,78.3,94,20,3.44
145,Chiang Mai,TH,2022-05-31 18:24:23,18.75,99.0,79.74,99,20,3.44
146,Padang,ID,2022-05-31 18:24:23,-0.9492,100.3543,73.45,87,85,3.33
147,Kavieng,PG,2022-05-31 18:24:24,-2.5744,150.7967,80.87,74,22,8.21
148,Mackenzie,CA,2022-05-31 18:20:08,55.2999,-123.1698,62.82,45,0,4.61
149,Eydhafushi,MV,2022-05-31 18:24:25,5.1033,73.0708,82.04,77,100,18.43
150,Kutahya,TR,2022-05-31 18:24:25,39.4242,29.9833,62.33,79,14,5.7
151,Bac Lieu,VN,2022-05-31 18:24:26,9.285,105.7244,80.96,85,47,6.76
152,Katsuura,JP,2022-05-31 18:24:26,35.1333,140.3,66.15,91,78,8.14
153,Chiredzi,ZW,2022-05-31 18:24:27,-21.05,31.6667,62.6,68,22,2.33
154,Ulladulla,AU,2022-05-31 18:24:28,-35.35,150.4667,47.3,59,1,18.63
155,Agadir,MA,2022-05-31 18:20:12,30.4202,-9.5982,77.45,46,2,6.24
156,Mardin,TR,2022-05-31 18:24:28,37.3131,40.7436,78.19,22,0,5.3
157,Kavaratti,IN,2022-05-31 18:24:29,10.5669,72.642,83.43,74,100,15.79
158,Kayerkan,RU,2022-05-31 18:24:29,69.3497,87.7602,32.52,100,98,11.03
159,Wanning,CN,2022-05-31 18:24:30,18.8003,110.3967,80.24,92,100,7.2
160,Elko,US,2022-05-31 18:23:05,41.0002,-115.5012,55.42,43,55,3.15
161,Ust-Tsilma,RU,2022-05-31 18:24:30,65.441,52.1498,54.5,46,18,4.07
162,Silva Jardim,BR,2022-05-31 18:24:31,-22.6508,-42.3917,75.18,78,100,7.7
163,Soe,ID,2022-05-31 18:24:31,-9.8607,124.284,65.46,94,100,2.33
164,Gainesville,US,2022-05-31 18:19:57,29.6516,-82.3248,93.02,50,40,5.75
165,Snasa,NO,2022-05-31 18:24:33,64.2457,12.3778,62.01,73,91,5.46
166,Pietarsaari,FI,2022-05-31 18:24:33,63.65,22.6833,60.48,82,100,15.39
167,Loralai,PK,2022-05-31 18:21:10,30.3705,68.598,75.42,8,0,9.4
168,Paducah,US,2022-05-31 18:22:41,37.0834,-88.6001,89.2,53,20,6.91
169,Mogapi,BW,2022-05-31 18:24:34,-22.323,27.8349,57.51,26,2,8.08
170,Port-Gentil,GA,2022-05-31 18:24:34,-0.7193,8.7815,76.44,84,80,11.05
171,Tucumcari,US,2022-05-31 18:24:35,35.1717,-103.725,75.94,27,0,12.66
172,Lakatoro,VU,2022-05-31 18:24:35,-16.0999,167.4164,78.33,85,17,5.99
173,Hauterive,FR,2022-05-31 18:24:36,46.0901,3.4459,72.36,55,89,2.37
174,Sinjar,IQ,2022-05-31 18:24:37,36.3209,41.8754,88.3,12,0,3.29
175,Lethem,GY,2022-05-31 18:24:37,3.3803,-59.7968,86.58,62,90,9.33
176,Jojoima,SL,2022-05-31 18:24:38,7.8792,-10.7878,81.14,75,98,4.61
177,Bengkulu,ID,2022-05-31 18:24:38,-3.8004,102.2655,75.69,91,100,5.19
178,Torbay,CA,2022-05-31 18:24:39,47.6666,-52.7314,50.76,80,100,10.36
179,Siddipet,IN,2022-05-31 18:24:39,18.1,78.85,87.39,41,74,3.67
180,Puerto Colombia,CO,2022-05-31 18:24:40,10.9878,-74.9547,87.89,67,99,6.49
181,Xai-Xai,MZ,2022-05-31 18:24:40,-25.0519,33.6442,69.49,57,21,18.68
182,Noumea,NC,2022-05-31 18:24:41,-22.2763,166.4572,78.01,99,53,2.71
183,Ishurdi,BD,2022-05-31 18:24:41,24.1333,89.0833,83.55,73,12,5.57
184,Lakhnau,IN,2022-05-31 18:24:41,26.85,80.9167,93.18,66,0,2.3
185,West Bay,KY,2022-05-31 18:24:42,19.3667,-81.4167,87.87,75,20,9.22
186,Drumheller,CA,2022-05-31 18:25:42,51.4617,-112.7101,65.53,24,4,10.36
187,Amaraji,BR,2022-05-31 18:25:43,-8.3831,-35.4525,78.4,82,59,8.3
188,Cidreira,BR,2022-05-31 18:25:43,-30.1811,-50.2056,53.56,64,95,10.13
189,Kaitangata,NZ,2022-05-31 18:25:43,-46.2817,169.8464,51.44,80,100,7.09
190,Comodoro Rivadavia,AR,2022-05-31 18:25:44,-45.8667,-67.5,48.06,53,40,13.8
191,Helong,CN,2022-05-31 18:25:44,42.5397,128.9972,47.12,93,74,5.5
192,Alekseyevka,RU,2022-05-31 18:25:45,50.6309,38.6903,61.79,92,78,3.89
193,Nanning,CN,2022-05-31 18:25:45,22.8167,108.3167,79.25,92,97,5.35
194,Senno,RU,2022-05-31 18:25:46,59.5336,33.9167,56.26,97,100,4.74
195,Matamoros,MX,2022-05-31 18:21:14,25.5333,-103.25,93.31,26,0,11.5
196,Pevek,RU,2022-05-31 18:25:47,69.7008,170.3133,32.07,94,100,2.91
197,Rochester,US,2022-05-31 18:23:53,43.1548,-77.6156,88.54,55,75,11.5
198,Iqaluit,CA,2022-05-31 18:25:47,63.7506,-68.5145,37.13,74,20,4.61
199,Sobolevo,RU,2022-05-31 18:25:48,54.4299,31.8996,53.17,80,25,1.14
200,Yumen,CN,2022-05-31 18:25:48,40.2833,97.2,67.78,18,58,11.99
201,Nikolskoye,RU,2022-05-31 18:25:49,59.7035,30.7861,59.79,71,86,5.64
202,Olean,US,2022-05-31 18:25:49,42.0776,-78.4297,86.68,50,40,4.61
203,Igrim,RU,2022-05-31 18:25:50,63.1906,64.4162,50.34,51,48,2.68
204,Owando,CG,2022-05-31 18:25:51,-0.4819,15.8999,73.63,88,59,1.41
205,Lincoln,US,2022-05-31 18:24:07,40.8,-96.667,74.89,53,0,9.22
206,Matiri,TZ,2022-05-31 18:25:51,-10.75,34.9,57.0,79,59,2.64
207,Tabuk,PH,2022-05-31 18:25:52,17.4189,121.4443,75.61,78,94,3.02
208,Klaksvik,FO,2022-05-31 18:25:52,62.2266,-6.589,52.72,82,7,6.38
209,Leningradskiy,RU,2022-05-31 18:25:53,69.3833,178.4167,35.24,97,100,4.0
210,Faanui,PF,2022-05-31 18:25:53,-16.4833,-151.75,79.88,67,81,12.37
211,Siderno,IT,2022-05-31 18:25:54,38.2779,16.302,76.77,57,77,4.25
212,Vung Tau,VN,2022-05-31 18:25:54,10.346,107.0843,82.71,81,60,9.6
213,Carnarvon,AU,2022-05-31 18:25:55,-24.8667,113.6333,58.62,72,0,17.72
214,Mount Gambier,AU,2022-05-31 18:25:55,-37.8333,140.7667,46.81,66,90,12.95
215,Kungurtug,RU,2022-05-31 18:25:56,50.5994,97.5228,50.49,52,73,2.04
216,Semirom,IR,2022-05-31 18:25:56,31.4167,51.5667,59.85,14,33,6.26
217,Dasoguz,TM,2022-05-31 18:25:56,41.8363,59.9666,82.35,32,0,4.61
218,Sao Miguel Do Araguaia,BR,2022-05-31 18:23:48,-13.275,-50.1628,94.98,19,2,3.62
219,Chake Chake,TZ,2022-05-31 18:25:57,-5.2459,39.7666,75.83,80,3,7.78
220,Naryan-Mar,RU,2022-05-31 18:25:58,67.6713,53.087,45.97,63,56,10.8
221,Deputatskiy,RU,2022-05-31 18:25:58,69.3,139.9,34.95,98,100,2.98
222,Nova Vicosa,BR,2022-05-31 18:25:58,-17.8919,-39.3719,80.67,70,2,10.29
223,Verkhnevilyuysk,RU,2022-05-31 18:25:59,63.4453,120.3167,41.34,97,99,4.74
224,Sidi Ali,DZ,2022-05-31 18:25:59,36.0998,0.4206,74.41,47,2,6.69
225,Khatanga,RU,2022-05-31 18:24:19,71.9667,102.5,33.62,84,92,8.08
226,Chara,RU,2022-05-31 18:26:00,56.9064,118.2631,39.47,79,88,1.5
227,Puerto Escondido,MX,2022-05-31 18:26:00,15.85,-97.0667,83.23,54,100,5.75
228,San Andres,CO,2022-05-31 18:26:01,12.5847,-81.7006,87.82,74,75,9.22
229,Margate,GB,2022-05-31 18:24:05,51.3813,1.3862,51.69,85,70,1.01
230,Jahanabad,IN,2022-05-31 18:27:02,25.2167,84.9833,87.64,32,3,10.47
231,Alofi,NU,2022-05-31 18:27:03,-19.0595,-169.9187,75.09,88,5,9.22
232,Arawa,PG,2022-05-31 18:27:03,-6.2132,155.5367,74.88,90,55,2.91
