City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
299,Maceio,BR,76.44,-9.6658,-35.7353,Hotel Ponta Verde Maceió
301,Dwarka,IN,81.46,22.2394,68.9678,Hotel Narayan Avezika Comfort
304,Amantea,IT,75.15,39.1332,16.0746,Mediterraneo Palace Hotel
306,Oussouye,SN,79.68,12.485,-16.5469,Auberge du Routard
312,Bubaque,GW,80.6,11.2833,-15.8333,"Casa Dora, Bubaque"
319,Rayagada,IN,80.87,19.1667,83.4167,"Hotel Swagath, Rayagada"
320,Wanning,CN,80.46,18.8003,110.3967,Paradise Hotel
321,Vega De Alatorre,MX,87.46,20.0333,-96.6333,Hotel D Luxe
324,Cortez,US,83.16,37.3489,-108.5859,Sand Canyon National 9 Inn
330,Kaduna,NG,75.47,10.5222,7.4383,HAMDALA HOTEL
332,Sliema,MT,79.29,35.9125,14.5019,Grand Hotel Excelsior Malta
333,Maryville,US,85.12,35.7565,-83.9705,"Holiday Inn Express & Suites Alcoa (Knoxville Airport), an IHG Hotel"
334,Kampot,KH,77.05,10.6167,104.1833,Two Moons Hotel
336,Mogadishu,SO,78.78,2.0371,45.3438,Hotel Juba
338,Lompoc,US,85.78,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
339,Pasighat,IN,75.47,28.0667,95.3333,Siang Guest House
340,Ahuimanu,US,85.14,21.4447,-157.8378,Paradise Bay Resort
342,Axim,GH,78.3,4.8699,-2.2405,Axim Beach Resort And Spa
343,Rosarito,MX,82.63,32.3333,-117.0333,Hotel Festival Plaza Rosarito
351,Lodwar,KE,86.27,3.1191,35.5973,Solmar Gracious Hotel
361,Grants Pass,US,75.81,42.439,-123.3284,La Quinta Inn & Suites by Wyndham Grants Pass
364,Cockburn Town,TC,84.16,21.4612,-71.1419,Osprey Beach Hotel
372,Irituia,BR,75.16,-1.7711,-47.4381,Hotel Irituia
374,Auki,SB,79.93,-8.7676,160.7034,Auki Motel
378,Padang,ID,78.04,-0.9492,100.3543,Mercure Padang
382,Tecoanapa,MX,85.53,16.5167,-98.75,Hotel Manglares
384,Benemerito De Las Americas,MX,88.11,16.5167,-90.6439,Residencia Univeresitaria
397,Gigmoto,PH,79.52,13.7796,124.39,Cj's Travellers Inn
398,Contai,IN,83.32,21.7786,87.7536,PATHFINDER
402,Manavalakurichi,IN,78.94,8.1333,77.3,Jebinrio home
404,Buala,SB,81.66,-8.145,159.5921,Maringe Lagoon Lodge
406,Santa Rosa,PH,83.1,14.3122,121.1114,Erlyn’s Sta Rosa City Home
407,Sur,OM,85.86,22.5667,59.5289,Sur Plaza Hotel
409,Nha Trang,VN,78.8,12.25,109.1833,Hanoi Golden Hotel
421,Broome,US,76.66,42.2506,-75.833,Chenango Valley State Park
